fecha,abrir,max,min,CloseClose price adjusted for splits.,Adj CloseAdjusted close price adjusted for splits and dividend and/or capital gain distributions.,volumen
"Oct 2, 2024","1,993.22","2,015.42","1,952.42","1,970.72","1,970.72","514,600"
"Oct 1, 2024","2,060.00","2,067.72","2,033.24","2,066.12","2,066.12","349,100"
"Sep 30, 2024","2,055.30","2,064.87","2,030.25","2,051.96","2,051.96","398,600"
"Sep 27, 2024","2,100.21","2,100.21","2,055.52","2,064.71","2,064.71","321,200"
"Sep 26, 2024","2,147.80","2,161.73","2,098.32","2,100.21","2,100.21","328,900"
"Sep 25, 2024","2,097.15","2,132.68","2,088.75","2,131.29","2,131.29","234,900"
"Sep 24, 2024","2,116.28","2,124.33","2,092.00","2,111.00","2,111.00","303,100"
"Sep 23, 2024","2,117.83","2,140.97","2,100.00","2,102.63","2,102.63","226,500"
"Sep 20, 2024","2,116.15","2,118.61","2,094.68","2,103.75","2,103.75","319,400"
"Sep 19, 2024","2,138.45","2,157.64","2,098.93","2,109.40","2,109.40","360,800"
"Sep 18, 2024","2,078.76","2,124.52","2,074.22","2,102.64","2,102.64","218,900"
"Sep 17, 2024","2,106.70","2,111.68","2,067.18","2,074.26","2,074.26","283,900"
"Sep 16, 2024","2,128.83","2,128.83","2,102.00","2,105.51","2,105.51","264,600"
"Sep 13, 2024","2,136.96","2,143.96","2,117.68","2,122.37","2,122.37","256,700"
"Sep 12, 2024","2,056.00","2,142.59","2,054.72","2,140.10","2,140.10","435,900"
"Sep 11, 2024","2,026.81","2,053.00","1,984.85","2,045.88","2,045.88","323,500"
"Sep 10, 2024","2,040.30","2,045.33","2,001.50","2,017.58","2,017.58","198,600"
"Sep 9, 2024","2,006.96","2,035.88","2,001.80","2,029.91","2,029.91","229,900"
"Sep 6, 2024","2,034.85","2,034.85","1,966.00","1,986.05","1,986.05","304,400"
"Sep 5, 2024","1,991.59","2,048.05","1,991.59","2,038.18","2,038.18","218,700"
"Sep 4, 2024","1,996.83","2,006.01","1,977.90","1,991.59","1,991.59","167,900"
"Sep 3, 2024","2,050.00","2,053.59","1,984.00","1,990.17","1,990.17","377,200"
"Aug 30, 2024","2,025.99","2,064.76","2,018.41","2,061.66","2,061.66","384,400"
"Aug 29, 2024","2,003.47","2,023.55","1,994.99","2,015.79","2,015.79","199,200"
"Aug 28, 2024","2,035.25","2,037.00","1,982.68","1,995.17","1,995.17","251,500"
"Aug 27, 2024","2,002.99","2,048.99","2,002.99","2,036.21","2,036.21","272,400"
"Aug 26, 2024","1,991.73","2,007.65","1,978.00","2,004.70","2,004.70","181,700"
"Aug 23, 2024","2,006.50","2,009.82","1,980.62","2,000.31","2,000.31","162,700"
"Aug 22, 2024","2,000.20","2,019.00","1,983.45","1,988.83","1,988.83","191,500"
"Aug 21, 2024","2,013.02","2,015.46","1,973.26","2,007.46","2,007.46","238,900"
"Aug 20, 2024","2,020.00","2,027.78","2,000.03","2,005.66","2,005.66","225,600"
"Aug 19, 2024","1,989.67","2,029.99","1,985.17","2,028.00","2,028.00","402,100"
"Aug 16, 2024","1,992.00","1,999.00","1,969.00","1,977.97","1,977.97","245,100"
"Aug 15, 2024","1,920.00","1,998.68","1,915.00","1,996.44","1,996.44","519,000"
"Aug 14, 2024","1,921.68","1,921.68","1,883.00","1,898.57","1,898.57","272,900"
"Aug 13, 2024","1,905.00","1,923.18","1,891.98","1,916.20","1,916.20","315,200"
"Aug 12, 2024","1,884.51","1,904.60","1,874.61","1,901.82","1,901.82","186,900"
"Aug 9, 2024","1,869.62","1,909.80","1,869.62","1,883.62","1,883.62","232,900"
"Aug 8, 2024","1,880.00","1,887.34","1,829.12","1,869.40","1,869.40","345,100"
"Aug 7, 2024","1,834.88","1,878.38","1,825.81","1,859.70","1,859.70","587,100"
"Aug 6, 2024","1,788.40","1,850.00","1,776.01","1,810.39","1,810.39","486,500"
"Aug 5, 2024","1,666.00","1,820.00","1,656.74","1,776.00","1,776.00","725,400"
"Aug 2, 2024","1,701.21","1,786.97","1,692.96","1,776.14","1,776.14","958,300"
"Aug 1, 2024","1,675.49","1,712.46","1,579.78","1,606.06","1,606.06","624,500"
"Jul 31, 2024","1,660.00","1,674.58","1,646.12","1,668.90","1,668.90","375,400"
"Jul 30, 2024","1,623.73","1,647.63","1,603.09","1,626.15","1,626.15","327,100"
"Jul 29, 2024","1,667.15","1,670.00","1,613.67","1,621.40","1,621.40","217,900"
"Jul 26, 2024","1,629.34","1,668.03","1,629.34","1,651.69","1,651.69","169,000"
"Jul 25, 2024","1,634.39","1,674.50","1,595.26","1,625.15","1,625.15","278,700"
"Jul 24, 2024","1,676.17","1,676.17","1,635.51","1,642.55","1,642.55","240,300"
"Jul 23, 2024","1,683.51","1,700.18","1,680.23","1,692.23","1,692.23","217,700"
"Jul 22, 2024","1,668.19","1,691.95","1,651.23","1,687.38","1,687.38","193,900"
"Jul 19, 2024","1,612.90","1,664.59","1,612.90","1,649.99","1,649.99","174,100"
"Jul 18, 2024","1,670.73","1,685.31","1,613.54","1,623.26","1,623.26","270,400"
"Jul 17, 2024","1,710.00","1,710.00","1,655.10","1,670.09","1,670.09","378,000"
"Jul 16, 2024","1,741.31","1,745.51","1,707.00","1,720.43","1,720.43","265,100"
"Jul 15, 2024","1,745.62","1,760.38","1,727.45","1,743.99","1,743.99","376,500"
"Jul 12, 2024","1,710.45","1,764.50","1,710.45","1,761.22","1,761.22","335,200"
"Jul 11, 2024","1,710.57","1,733.76","1,700.04","1,708.65","1,708.65","258,800"
"Jul 10, 2024","1,733.98","1,739.34","1,679.96","1,703.55","1,703.55","268,100"
"Jul 9, 2024","1,698.99","1,733.97","1,675.77","1,722.05","1,722.05","349,000"
"Jul 8, 2024","1,659.39","1,700.90","1,647.00","1,683.75","1,683.75","310,500"
"Jul 5, 2024","1,610.00","1,666.27","1,598.06","1,658.96","1,658.96","354,400"
"Jul 3, 2024","1,585.00","1,594.12","1,563.21","1,591.44","1,591.44","207,700"
"Jul 2, 2024","1,590.95","1,617.88","1,583.35","1,596.48","1,596.48","297,400"
"Jul 1, 2024","1,635.61","1,641.04","1,571.87","1,597.60","1,597.60","337,600"
"Jun 28, 2024","1,663.67","1,673.23","1,637.98","1,643.40","1,643.40","249,600"
"Jun 27, 2024","1,682.34","1,690.00","1,650.25","1,660.89","1,660.89","250,600"
"Jun 26, 2024","1,636.50","1,682.69","1,626.47","1,678.96","1,678.96","315,300"
"Jun 25, 2024","1,592.20","1,647.18","1,590.05","1,642.28","1,642.28","281,300"
"Jun 24, 2024","1,607.76","1,617.84","1,580.10","1,582.86","1,582.86","244,600"
"Jun 21, 2024","1,622.03","1,622.03","1,579.66","1,600.05","1,600.05","309,700"
"Jun 20, 2024","1,570.00","1,586.90","1,567.97","1,585.03","1,585.03","264,200"
"Jun 18, 2024","1,558.30","1,583.28","1,550.00","1,573.40","1,573.40","250,700"
"Jun 17, 2024","1,580.06","1,587.62","1,557.50","1,559.23","1,559.23","313,400"
"Jun 14, 2024","1,581.81","1,588.00","1,561.00","1,582.14","1,582.14","223,100"
"Jun 13, 2024","1,606.44","1,617.11","1,572.53","1,580.53","1,580.53","251,100"
"Jun 12, 2024","1,600.10","1,609.00","1,573.96","1,599.34","1,599.34","283,700"
"Jun 11, 2024","1,593.50","1,601.45","1,575.12","1,580.00","1,580.00","192,100"
"Jun 10, 2024","1,589.48","1,614.14","1,583.67","1,601.88","1,601.88","181,400"
"Jun 7, 2024","1,622.61","1,622.96","1,593.09","1,600.16","1,600.16","292,700"
"Jun 6, 2024","1,604.95","1,628.60","1,604.95","1,621.09","1,621.09","366,600"
"Jun 5, 2024","1,631.00","1,641.90","1,601.51","1,604.90","1,604.90","447,200"
"Jun 4, 2024","1,684.00","1,694.99","1,618.00","1,630.65","1,630.65","380,400"
"Jun 3, 2024","1,718.05","1,723.28","1,679.00","1,693.14","1,693.14","300,400"
"May 31, 2024","1,699.95","1,732.00","1,689.79","1,725.58","1,725.58","456,200"
"May 30, 2024","1,701.31","1,744.53","1,696.68","1,699.95","1,699.95","341,300"
"May 29, 2024","1,690.00","1,733.00","1,689.66","1,709.86","1,709.86","270,300"
"May 28, 2024","1,693.57","1,708.55","1,680.05","1,708.00","1,708.00","254,700"
"May 24, 2024","1,682.98","1,715.69","1,671.22","1,693.57","1,693.57","375,400"
"May 23, 2024","1,749.34","1,749.34","1,698.21","1,707.40","1,707.40","368,400"
"May 22, 2024","1,772.80","1,772.80","1,722.36","1,736.78","1,736.78","341,300"
"May 21, 2024","1,773.00","1,779.80","1,758.27","1,772.07","1,772.07","278,500"
"May 20, 2024","1,749.17","1,792.05","1,742.48","1,787.73","1,787.73","313,300"
"May 17, 2024","1,734.03","1,750.51","1,726.08","1,749.17","1,749.17","274,900"
"May 16, 2024","1,728.00","1,752.17","1,721.01","1,739.15","1,739.15","338,600"
"May 15, 2024","1,703.22","1,730.50","1,682.90","1,718.50","1,718.50","254,200"
"May 14, 2024","1,670.01","1,706.00","1,655.95","1,683.91","1,683.91","323,000"
"May 13, 2024","1,710.00","1,710.00","1,671.00","1,677.34","1,677.34","247,900"
"May 10, 2024","1,700.00","1,710.64","1,681.54","1,693.97","1,693.97","230,100"
"May 9, 2024","1,718.00","1,718.00","1,685.00","1,695.40","1,695.40","473,900"
"May 8, 2024","1,665.00","1,731.38","1,663.37","1,716.78","1,716.78","485,300"
"May 7, 2024","1,652.94","1,702.69","1,640.23","1,688.69","1,688.69","497,000"
"May 6, 2024","1,642.21","1,694.04","1,633.32","1,653.85","1,653.85","601,900"
"May 3, 2024","1,620.00","1,680.00","1,617.00","1,630.56","1,630.56","1,346,800"
"May 2, 2024","1,463.38","1,506.25","1,444.10","1,505.99","1,505.99","696,000"
"May 1, 2024","1,446.37","1,483.63","1,427.95","1,456.51","1,456.51","526,300"
"Apr 30, 2024","1,438.36","1,485.24","1,433.02","1,458.70","1,458.70","548,000"
"Apr 29, 2024","1,430.00","1,446.44","1,419.86","1,438.36","1,438.36","334,300"
"Apr 26, 2024","1,380.00","1,416.76","1,376.69","1,406.00","1,406.00","443,300"
"Apr 25, 2024","1,350.00","1,369.08","1,341.00","1,363.83","1,363.83","211,300"
"Apr 24, 2024","1,384.87","1,399.70","1,360.00","1,370.00","1,370.00","301,300"
"Apr 23, 2024","1,390.00","1,408.18","1,367.28","1,395.00","1,395.00","418,100"
"Apr 22, 2024","1,364.22","1,370.34","1,324.99","1,368.23","1,368.23","389,300"
"Apr 19, 2024","1,379.13","1,379.13","1,344.31","1,356.43","1,356.43","352,700"
"Apr 18, 2024","1,388.95","1,398.89","1,366.93","1,370.25","1,370.25","391,400"
"Apr 17, 2024","1,404.40","1,414.19","1,389.00","1,397.86","1,397.86","448,600"
"Apr 16, 2024","1,418.00","1,419.85","1,396.69","1,397.88","1,397.88","364,700"
"Apr 15, 2024","1,466.39","1,495.30","1,400.83","1,415.88","1,415.88","627,100"
"Apr 12, 2024","1,495.19","1,517.14","1,442.89","1,444.14","1,444.14","537,400"
"Apr 11, 2024","1,486.00","1,509.02","1,479.00","1,507.56","1,507.56","286,800"
"Apr 10, 2024","1,474.85","1,491.86","1,463.49","1,478.00","1,478.00","251,600"
"Apr 9, 2024","1,492.37","1,503.00","1,478.62","1,495.01","1,495.01","255,300"
"Apr 8, 2024","1,513.25","1,513.98","1,488.00","1,488.58","1,488.58","230,600"
"Apr 5, 2024","1,495.13","1,507.00","1,486.03","1,501.72","1,501.72","291,700"
"Apr 4, 2024","1,524.12","1,531.15","1,486.54","1,487.81","1,487.81","252,000"
"Apr 3, 2024","1,500.20","1,521.15","1,492.30","1,504.98","1,504.98","205,700"
"Apr 2, 2024","1,504.21","1,516.32","1,490.10","1,512.51","1,512.51","228,100"
"Apr 1, 2024","1,527.25","1,540.98","1,518.76","1,528.95","1,528.95","326,700"
"Mar 28, 2024","1,522.65","1,534.14","1,509.34","1,511.96","1,511.96","261,900"
"Mar 27, 2024","1,552.80","1,552.80","1,503.05","1,522.65","1,522.65","288,400"
"Mar 26, 2024","1,558.01","1,564.00","1,532.68","1,537.46","1,537.46","327,500"
"Mar 25, 2024","1,568.05","1,569.91","1,533.78","1,550.07","1,550.07","269,100"
"Mar 22, 2024","1,557.30","1,577.01","1,537.86","1,571.99","1,571.99","266,400"
"Mar 21, 2024","1,538.07","1,581.00","1,538.07","1,555.69","1,555.69","497,900"
"Mar 20, 2024","1,524.32","1,534.26","1,495.65","1,528.84","1,528.84","324,500"
"Mar 19, 2024","1,502.76","1,523.45","1,480.04","1,519.44","1,519.44","296,000"
"Mar 18, 2024","1,524.81","1,529.61","1,500.79","1,509.05","1,509.05","300,900"
"Mar 15, 2024","1,560.21","1,567.50","1,496.41","1,499.51","1,499.51","631,400"
"Mar 14, 2024","1,555.66","1,583.49","1,547.45","1,561.27","1,561.27","333,000"
"Mar 13, 2024","1,546.00","1,558.76","1,529.96","1,550.62","1,550.62","300,700"
"Mar 12, 2024","1,553.11","1,575.00","1,530.45","1,545.56","1,545.56","314,500"
"Mar 11, 2024","1,525.65","1,550.59","1,516.02","1,547.32","1,547.32","385,700"
"Mar 8, 2024","1,528.00","1,552.99","1,511.51","1,512.50","1,512.50","378,400"
"Mar 7, 2024","1,541.43","1,543.00","1,510.00","1,529.94","1,529.94","348,800"
"Mar 6, 2024","1,550.75","1,557.15","1,504.22","1,525.59","1,525.59","672,500"
"Mar 5, 2024","1,550.00","1,562.20","1,508.13","1,527.29","1,527.29","481,100"
"Mar 4, 2024","1,611.11","1,612.34","1,552.79","1,560.08","1,560.08","543,500"
"Mar 1, 2024","1,605.06","1,614.90","1,579.44","1,612.75","1,612.75","378,600"
"Feb 29, 2024","1,593.95","1,614.85","1,584.13","1,595.30","1,595.30","519,400"
"Feb 28, 2024","1,596.00","1,600.69","1,577.77","1,579.49","1,579.49","330,200"
"Feb 27, 2024","1,630.55","1,630.55","1,590.18","1,607.44","1,607.44","480,500"
